"CHARACTER	NUMBER","HEX","UNICODE","ENTITY"
ऀ,2304,0900,U+0900,&#2304;
ँ,2305,0901,U+0901,&#2305;
ं,2306,0902,U+0902,&#2306;
ः,2307,0903,U+0903,&#2307;
ऄ,2308,0904,U+0904,&#2308;
अ,2309,0905,U+0905,&#2309;
आ,2310,0906,U+0906,&#2310;
इ,2311,0907,U+0907,&#2311;
ई,2312,0908,U+0908,&#2312;
उ,2313,0909,U+0909,&#2313;
ऊ,2314,090A,U+090A,&#2314;
ऋ,2315,090B,U+090B,&#2315;
ऌ,2316,090C,U+090C,&#2316;
ऍ,2317,090D,U+090D,&#2317;
ऎ,2318,090E,U+090E,&#2318;
ए,2319,090F,U+090F,&#2319;
ऐ,2320,0910,U+0910,&#2320;
ऑ,2321,0911,U+0911,&#2321;
ऒ,2322,0912,U+0912,&#2322;
ओ,2323,0913,U+0913,&#2323;
औ,2324,0914,U+0914,&#2324;
क,2325,0915,U+0915,&#2325;
ख,2326,0916,U+0916,&#2326;
ग,2327,0917,U+0917,&#2327;
घ,2328,0918,U+0918,&#2328;
ङ,2329,0919,U+0919,&#2329;
च,2330,091A,U+091A,&#2330;
छ,2331,091B,U+091B,&#2331;
ज,2332,091C,U+091C,&#2332;
झ,2333,091D,U+091D,&#2333;
ञ,2334,091E,U+091E,&#2334;
ट,2335,091F,U+091F,&#2335;
ठ,2336,0920,U+0920,&#2336;
ड,2337,0921,U+0921,&#2337;
ढ,2338,0922,U+0922,&#2338;
ण,2339,0923,U+0923,&#2339;
त,2340,0924,U+0924,&#2340;
थ,2341,0925,U+0925,&#2341;
द,2342,0926,U+0926,&#2342;
ध,2343,0927,U+0927,&#2343;
न,2344,0928,U+0928,&#2344;
ऩ,2345,0929,U+0929,&#2345;
प,2346,092A,U+092A,&#2346;
फ,2347,092B,U+092B,&#2347;
ब,2348,092C,U+092C,&#2348;
भ,2349,092D,U+092D,&#2349;
म,2350,092E,U+092E,&#2350;
य,2351,092F,U+092F,&#2351;
र,2352,0930,U+0930,&#2352;
ऱ,2353,0931,U+0931,&#2353;
ल,2354,0932,U+0932,&#2354;
ळ,2355,0933,U+0933,&#2355;
ऴ,2356,0934,U+0934,&#2356;
व,2357,0935,U+0935,&#2357;
श,2358,0936,U+0936,&#2358;
ष,2359,0937,U+0937,&#2359;
स,2360,0938,U+0938,&#2360;
ह,2361,0939,U+0939,&#2361;
ऺ,2362,093A,U+093A,&#2362;
ऻ,2363,093B,U+093B,&#2363;
़,2364,093C,U+093C,&#2364;
ऽ,2365,093D,U+093D,&#2365;
ा,2366,093E,U+093E,&#2366;
ि,2367,093F,U+093F,&#2367;
ी,2368,0940,U+0940,&#2368;
ु,2369,0941,U+0941,&#2369;
ू,2370,0942,U+0942,&#2370;
ृ,2371,0943,U+0943,&#2371;
ॄ,2372,0944,U+0944,&#2372;
ॅ,2373,0945,U+0945,&#2373;
ॆ,2374,0946,U+0946,&#2374;
े,2375,0947,U+0947,&#2375;
ै,2376,0948,U+0948,&#2376;
ॉ,2377,0949,U+0949,&#2377;
ॊ,2378,094A,U+094A,&#2378;
ो,2379,094B,U+094B,&#2379;
ौ,2380,094C,U+094C,&#2380;
्,2381,094D,U+094D,&#2381;
ॎ,2382,094E,U+094E,&#2382;
ॏ,2383,094F,U+094F,&#2383;
ॐ,2384,0950,U+0950,&#2384;
'॑,2385,0951,U+0951,&#2385;
॒_,2386,0952,U+0952,&#2386;
॓`,2387,0953,U+0953,&#2387;
॔´,2388,0954,U+0954,&#2388;
ॕ,2389,0955,U+0955,&#2389;
ॖ,2390,0956,U+0956,&#2390;
ॗ,2391,0957,U+0957,&#2391;
क़,2392,0958,U+0958,&#2392;
ख़,2393,0959,U+0959,&#2393;
ग़,2394,095A,U+095A,&#2394;
ज़,2395,095B,U+095B,&#2395;
ड़,2396,095C,U+095C,&#2396;
ढ़,2397,095D,U+095D,&#2397;
फ़,2398,095E,U+095E,&#2398;
य़,2399,095F,U+095F,&#2399;
ॠ,2400,0960,U+0960,&#2400;
ॡ,2401,0961,U+0961,&#2401;
ॢ,2402,0962,U+0962,&#2402;
ॣ,2403,0963,U+0963,&#2403;
।,2404,0964,U+0964,&#2404;
॥,2405,0965,U+0965,&#2405;
०,2406,0966,U+0966,&#2406;
१,2407,0967,U+0967,&#2407;
२,2408,0968,U+0968,&#2408;
३,2409,0969,U+0969,&#2409;
४,2410,096A,U+096A,&#2410;
५,2411,096B,U+096B,&#2411;
६,2412,096C,U+096C,&#2412;
७,2413,096D,U+096D,&#2413;
८,2414,096E,U+096E,&#2414;
९,2415,096F,U+096F,&#2415;
॰,2416,0970,U+0970,&#2416;
ॱ,2417,0971,U+0971,&#2417;
ॲ,2418,0972,U+0972,&#2418;
ॳ,2419,0973,U+0973,&#2419;
ॴ,2420,0974,U+0974,&#2420;
ॵ,2421,0975,U+0975,&#2421;
ॶ,2422,0976,U+0976,&#2422;
ॷ,2423,0977,U+0977,&#2423;
ॸ,2424,0978,U+0978,&#2424;
ॹ,2425,0979,U+0979,&#2425;
ॺ,2426,097A,U+097A,&#2426;
ॻ,2427,097B,U+097B,&#2427;
ॼ,2428,097C,U+097C,&#2428;
ॽ,2429,097D,U+097D,&#2429;
ॾ,2430,097E,U+097E,&#2430;
ॿ,2431,097F,U+097F,&#2431;
